Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9,Route10,Route11,Route12
Galadion,갈라디온 만,Merman's Mane,인어터럭,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Glowworm,발광충,,,Krill,크릴,94,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,Octopus,문어,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,T!Heavenskey,천국의 열쇠,2 - 3,2 -3 ,2 - 3,4 - 6,2 - 3,,Glowworm,발광충,,,Ragworm,바위털갯지렁이,67,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Ghost Shark,망령상어,3 - 4,3 - 4,3 - 4,5 - 7,5 - 7,,Glowworm,발광충,,,Plump Worm,굵은지렁이,78,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,S,Shark,상어,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Fishmonger,어물전어,4.5 - 8,4.5 - 8,4.5 - 8,5 - 10,4.5 - 8,,Glowworm,발광충,,,Plump Worm,굵은지렁이,78,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,T!Navigator's Print,리믈렌의 발도장,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Glowworm,발광충,,,Krill,크릴,71,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Casket Oyster,못굴,7 - 11,,,9 - 13,,,Glowworm,발광충,,,Ragworm,바위털갯지렁이,222,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,갈라디온 만,Quicksilver Blade,수은 칼날,,,5 - 7,6 - 8,,,Glowworm,발광충,,,Plump Worm,굵은지렁이,213,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,Yes,No,4,S,Shark,상어,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Funnel Shark,깔때기상어,,,7 - 11,9 - 12,,,Glowworm,발광충,,,Plump Worm,굵은지렁이,213,4,7,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,Yes,No,4,S,Shark,상어,,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No
Galadion,갈라디온 만,Nimble Dancer,날렵한 무희,12 - 16,,,14 - 18,,,Glowworm,발광충,,,Ragworm,바위털갯지렁이,444,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,No,No,4,,,,,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
Galadion,갈라디온 만,F!Sothis,소티스,,,,,9 - 12,,Glowworm,발광충,,,Glowworm,발광충,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Heavenskey.png"" alt=""Heavenskey"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Heavenskey"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Navigator_s Print.png"" alt=""Navigator's Print"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Navigator's Print"" tabindex=""0"">",Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,M!Ghoul Barracuda,구울 창꼬치어,4 - 8,4 - 8,4 - 8,7 - 11,,,,,,,Krill,크릴,10,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,Yes,Wind,바람,Gales,폭풍,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,La Noscean Jelly,라노시아 젤리,2 - 5,2 - 5,2 - 5,5 - 8,,,,,,,Ragworm,바위털갯지렁이,10,3 - 4,5 - 7,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,1,J,Jellyfish,해파리,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Sunfly,해님나비어,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Ragworm,바위털갯지렁이,10,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,1,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Marine Bomb,바다복,5 - 9,5 - 9,9 - 14,9 - 14,,,,,,,Krill,크릴,27,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,2,,Fugu,복어,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Shaggy Seadragon,수풀해마,9 - 16,14 - 22,14 - 22,14 - 22,,,,,,,Ragworm,바위털갯지렁이,35,4,7,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,2,,Seadragon,해마,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Momora Mora,모모라 모라,13 - 21,13 - 21,8 - 17,13 - 21,,8 - 17,,,M!Ghoul Barracuda,구울 창꼬치어,Plump Worm,굵은지렁이,22,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,2,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Merlthor Butterfly,멜토르 나비어,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Ragworm,바위털갯지렁이,51,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,T!Gladius,글라디우스,,,,,,7 - 14,,,M!Ghoul Barracuda,구울 창꼬치어,M!Ghoul Barracuda,구울 창꼬치어,49,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,3,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Spectral Discus,유령 원반어,19 - 34,21 - 37,21 - 37,21 - 37,,,,,,,Krill,크릴,100,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,No,Wind,바람,Gales,폭풍,,,,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,I!Little Leviathan,꼬마 리바이어선,,,16 - 28,,,,,,,,Plump Worm,굵은지렁이,204,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Gladius.png"" alt=""Gladius"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Gladius"" tabindex=""0"">",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Sea Nettle,바다쐐기,6 - 8,,,7 - 9,,,Shrimp Cage Feeder,새우 미끼통,,,Ragworm,바위털갯지렁이,156,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,No,Yes,No,4,J,Jellyfish,해파리,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,T!Great Grandmarlin,장수 청새치,,,,,,2 - 3,Shrimp Cage Feeder,새우 미끼통,M!Hi-aetherlouse,하이 에테르충,M!Hi-aetherlouse,하이 에테르충,127,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Shipwreck's Sail,난파선돛,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,4 - 6,Shrimp Cage Feeder,새우 미끼통,M!Hi-aetherlouse,하이 에테르충,Plump Worm,굵은지렁이,59,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Charlatan Survivor,사기꾼 투구게,3 - 4,3 - 4,3 - 4,5 - 8,3 - 4,,Shrimp Cage Feeder,새우 미끼통,,,Krill,크릴,69,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,M!Hi-aetherlouse,하이 에테르충,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Shrimp Cage Feeder,새우 미끼통,,,Ragworm,바위털갯지렁이,65,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Azeyma's Sleeve,아제마의 베일,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Shrimp Cage Feeder,새우 미끼통,,,Krill,크릴,69,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Aetheric Seadragon,에테르 해룡,,,,,,3 - 6,Shrimp Cage Feeder,새우 미끼통,M!Hi-aetherlouse,하이 에테르충,M!Hi-aetherlouse,하이 에테르충,245,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,No,Yes,4,,Seadragon,해마,,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Mythril Sovereign,미스릴 군주,,5 - 6,,7 - 9,,,Shrimp Cage Feeder,새우 미끼통,,,Krill,크릴,196,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,No,No,4,,,,,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,Roguesaurus,불량배 사우루스,,,,,,3 - 4,Shrimp Cage Feeder,새우 미끼통,M!Hi-aetherlouse,하이 에테르충,M!Hi-aetherlouse,하이 에테르충,345,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No
Southern,멜토르 해협 남쪽,F!Coral Manta,산호가오리,,,,,9 - 12,,Shrimp Cage Feeder,새우 미끼통,,,Shrimp Cage Feeder,새우 미끼통,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,No,Yes,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Great Grandmarlin.png"" alt=""Great Grandmarlin"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Great Grandmarlin"" tabindex=""0"">",Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Northern,멜토르 해협 북쪽,Floefish,유빙어,4 - 8,4 - 8,4 - 8,7 - 12,,,,,,,Ragworm,바위털갯지렁이,13,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,No,No,Yes,Snow,눈,Blizzards,눈보라,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Megasquid,왕오징어,6 - 10,6 - 10,6 - 10,8 - 14,,,,,,,Plump Worm,굵은지렁이,11,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Oschon's Stone,오쉬온의 돌,12 - 22,12 - 22,12 - 22,15 - 25,,15 - 25,,,M!Tossed Dagger,총총단검어,Plump Worm,굵은지렁이,11,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,1,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,M!Tossed Dagger,총총단검어,7 - 14,12 - 18,12 - 18,10 - 16,,,,,,,Ragworm,바위털갯지렁이,27,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,No,Yes,Snow,눈,Blizzards,눈보라,,,,2,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Tripod Fish,삼각고기,15 - 24,10 - 19,15 - 24,15 - 24,,,,,,,Krill,크릴,43,2,3,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,2,,Fugu,복어,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Net Crawler,긴다리거미게,14 - 22,9 - 17,14 - 22,14 - 22,,,,,,,Krill,크릴,36,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,2,C,Crab,게,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Merlthor Lobster,멜토르 가재,17 - 28,17 - 28,17 - 28,17 - 28,,,,,,,Krill,크릴,45,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,T!Elder Dinichthys,장로 디니크티스,,,,,,10 - 17,,,M!Tossed Dagger,총총단검어,M!Tossed Dagger,총총단검어,52,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,3,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Spectral Sea Bo,유령 해마,20 - 36,20 - 36,20 - 36,25 - 39,,,,,,,Ragworm,바위털갯지렁이,100,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,No,Snow,눈,Blizzards,눈보라,,,,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,I!Shooting Star,바다의 유성,16 - 28,,,,,,,,,,Ragworm,바위털갯지렁이,226,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Snow,눈,Blizzards,눈보라,,,,4,,,,"(60s) x1 <img class=""iconMini"" src=""../img/fish/Elder Dinichthys.png"" alt=""Elder Dinichthys"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Elder Dinichthys"" tabindex=""0"">",No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Hammerclaw,망치가재,2 - 3,2 - 3,2 - 3,4 - 6,4 - 6,,Heavy Steel Jig,중형 금속 지그,,,Krill,크릴,69,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Coccosteus,코코스테우스,2 - 3,2 - 3,2 - 3,4 - 6,2 - 3,,Heavy Steel Jig,중형 금속 지그,,,Plump Worm,굵은지렁이,79,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Bartholomew the Chopper,재단게,5 - 6,,,7 - 9,,,Heavy Steel Jig,중형 금속 지그,,,Ragworm,바위털갯지렁이,221,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,No,No,Yes,4,C,Crab,게,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,멜토르 해협 북쪽,Prowler,호랑냥대구,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Heavy Steel Jig,중형 금속 지그,,,Ragworm,바위털갯지렁이,79,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Mopbeard,빗자루수염,,5.5 - 8,,7 - 10,,,Heavy Steel Jig,중형 금속 지그,,,Krill,크릴,198,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,No,Yes,4,,Octopus,문어,,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No
Northern,멜토르 해협 북쪽,Wild Urchin,야생 성게,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,6 - 9,,Heavy Steel Jig,중형 금속 지그,,,Ragworm,바위털갯지렁이,79,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,T!Gugrusaurus,구그루사우루스,4 - 8,4 - 8,4 - 8,7 - 10,4 - 8,,Heavy Steel Jig,중형 금속 지그,,,Plump Worm,굵은지렁이,79,3 - 4,5 - 7,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No
Northern,멜토르 해협 북쪽,Coral Seadragon,산호 해룡,7 - 11,,,8 - 12,,,Heavy Steel Jig,중형 금속 지그,,,Ragworm,바위털갯지렁이,189,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,No,Yes,No,4,,Seadragon,해마,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,멜토르 해협 북쪽,The Fallen One,타락어,,7 - 10,,9 - 11,,,Heavy Steel Jig,중형 금속 지그,,,Krill,크릴,374,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,No,Yes,No,4,,,,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Northern,멜토르 해협 북쪽,F!Elasmosaurus,엘라스모사우루스,,,,,9 - 12,,Heavy Steel Jig,중형 금속 지그,,,Heavy Steel Jig,중형 금속 지그,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,Yes,No,No,5,,,,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Gugrusaurus.png"" alt=""Gugrusaurus"" data-bs-tooltip=""popover"" data-bs-trigger=""hover"" data-bs-title=""Gugrusaurus"" tabindex=""0"">",Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Rhotano,로타노 해,Rhotano Wahoo,로타노 줄삼치,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Krill,크릴,13,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Rhotano Sardine,로타노 정어리,6 - 11,6 - 11,6 - 11,9 - 14,,,,,,,Ragworm,바위털갯지렁이,10,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,1,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Deep Plaice,심해 넙치,7 - 12,7 - 12,7 - 12,9 - 15,,,,,,,Krill,크릴,15,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,1,,,,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,T!Crimson Monkfish,진홍아귀,12 - 18,12 - 18,7 - 14,12 - 19,,,,,,,Plump Worm,굵은지렁이,32,3 - 4,5 - 7,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Chrome Hammerhead,크롬 망치상어,20 - 33,20 - 33,15 - 28,20 - 33,,,,,,,Plump Worm,굵은지렁이,32,4,7,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,2,S,Shark,상어,,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Ogre Eel,오거장어,13 - 20,13 - 20,8 - 15,13 - 20,,,,,,,Plump Worm,굵은지렁이,38,2,3,!!,Powerful,강력한 낚아채기,Yes,No,No,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,2,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Dark Nautilus,어둑앵무조개,17 - 27,17 - 26,17 - 27,17 - 27,,,,,,,Krill,크릴,46,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,3,,,,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
Rhotano,로타노 해,Lampfish,새알고기,11 - 16,11 - 16,11 - 16,11 - 16,,,,,,,Ragworm,바위털갯지렁이,47,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Dust Storms,모래먼지,Heat Waves,작열파,,,,3,F,Fugu,복어,,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
