Stop,StopTranslated,Fish,FishTranslated,BaitRagworm,BaitKrill,BaitPlumpWorm,BaitVersatileLure,BaitSpecial,BaitMooch,BaitSpecialType,BaitSpecialTypeTranslated,BaitMoochType,BaitMoochTypeTranslated,BestBait,BestBaitTranslated,Points,DH,TH,Bite,Hookset,hooksetName,WeatherFairSkies,WeatherClouds,WeatherFog,WeatherSpecial1,WeatherSpecial2,WeatherSpecial3,WeatherClearSkies,WeatherSpecial1Type,WeatherSpecial1TypeTranslated,WeatherSpecial2Type,WeatherSpecial2TypeTranslated,WeatherSpecial3Type,WeatherSpecial3TypeTranslated,TimeFrameDay,TimeFrameSunset,TimeFrameNight,Stars,Mission,Species,SpeciesTranslated,Intuition,FabledTable,Route1,Route2,Route3,Route4,Route5,Route6,Route7,Route8,Route9
Sirensong,세이렌 해,Mermaid Scale,인어비늘,3 - 4,3 - 4,3 - 4,5 - 7,5 - 8,,Mackerel Strip,고등어 살,,,Ragworm,바위털갯지렁이,51,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,M,Shellfish,조개,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Broadhead,넓적머리 오징어,3 - 4,3 - 4,3 - 4,5 - 7,3 - 4,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,68,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,No,4,Q,Squid,오징어,,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Sirensong,세이렌 해,Vivid Pink Shrimp,진분홍새우,,5.5 - 8,,7 - 10,6 - 7,,Mackerel Strip,고등어 살,,,Krill,크릴,144,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,H,Shrimp,새우,,No,Yes,No,No,No,Yes,Yes,No,No,No
Sirensong,세이렌 해,T!Sunken Coelacanth,심해 실러캔스,3.5 - 6,3.5 - 6,3.5 - 6,6 - 9,3.5 - 6,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,51,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Siren's Sigh,세이렌의 한숨,5 - 6,,,6 - 8,5 - 6,,Mackerel Strip,고등어 살,,,Ragworm,바위털갯지렁이,101,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Black-jawed Helicoprion,검은 헬리코프리온,,,5 - 6,6 - 7,5 - 6,,Mackerel Strip,고등어 살,,,Plump Worm,굵은지렁이,102,4,7,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,P,Prehistoric,고대 생물,,No,Yes,No,No,No,Yes,Yes,No,No,No
Sirensong,세이렌 해,Impostopus,눈속임문어,,5 - 6,,6 - 8,5 - 6,,Mackerel Strip,고등어 살,,,Krill,크릴,144,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Jade Mantis Shrimp,비취 갯가재,,3 - 4,,5 - 7,,,Mackerel Strip,고등어 살,,,Krill,크릴,72,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,N,Mantis,갯가재,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sirensong,세이렌 해,Nymeia's Wheel,니메이아의 물레,,7 - 8,,8,,,Mackerel Strip,고등어 살,,,Krill,크릴,289,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,P,Prehistoric,고대 생물,,No,No,Yes,Yes,No,No,No,Yes,No,No
Sirensong,세이렌 해,F!Taniwha,타니와,,,,,9 - 12,,Mackerel Strip,고등어 살,,,Mackerel Strip,고등어 살,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,5,P,Prehistoric,고대 생물,"(15s) x3 <img class=""iconMini"" src=""../img/fish/Sunken Coelacanth.png"" alt=""Sunken Coelacanth"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Sunken Coelacanth"" tabindex=""0"">",Yes,No,No,No,Yes,No,No,No,Yes,Yes
Kugane,쿠가네,Ruby Herring,쿠가네 청어,5 - 9,5 - 9,5 - 9,7 - 12,,10 - 14,,,M!Leopard Prawn,얼룩새우,Krill,크릴,14,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Whirlpool Turban,소용돌이 소라,15 - 29,15 - 29,15 - 29,18 - 32,,,,,,,Ragworm,바위털갯지렁이,10,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,M,Shellfish,조개,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,M!Leopard Prawn,얼룩새우,5 - 9,5 - 9,5 - 9,7 - 12,,,,,,,Ragworm,바위털갯지렁이,10,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,H,Shrimp,새우,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Spear Squid,한치오징어,17 - 29,17 - 29,12.5 - 24,17 - 29,,,,,,,Plump Worm,굵은지렁이,26,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,Q,Squid,오징어,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Floating Lantern,등불해파리,11 - 17,11 - 17,6 - 12,11 - 17,,,,,,,Plump Worm,굵은지렁이,37,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Rubescent Tatsunoko,얼룩해마,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,크릴,33,2,3,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Hatatate,기수 망둥이,10 - 14,11 - 15,11 - 15,11 - 15,,7 - 12,,,M!Leopard Prawn,얼룩새우,Ragworm,바위털갯지렁이,53,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,T!Silent Shark,쥐상어,,,,,,6 - 12,,,M!Leopard Prawn,얼룩새우,M!Leopard Prawn,얼룩새우,35,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Spectral Wrasse,환해 놀래기,17 - 29,17 - 29,17 - 29,17 - 29,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Showers,폭우,,,,,,4,,,,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,I!Mizuhiki,매듭고기,14 - 26,,,,,,,,,,Ragworm,바위털갯지렁이,263,1,1,!!!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,"(60s) x2 <img class=""iconMini"" src=""../img/fish/Silent Shark.png"" alt=""Silent Shark"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Silent Shark"" tabindex=""0"">",No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,M!Snapping Koban,금화 곰치,2 - 3,2 - 3,2 - 3,4 - 6,,2 - 3,,,M!Snapping Koban,금화 곰치,Krill,크릴,62,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Silkweft Prawn,비단결새우,2 - 3,2 - 3,2 - 3,4 - 6,,,,,,,Ragworm,바위털갯지렁이,58,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,새우,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Stingfin Trevally,독안개전갱이,,5.5 - 8,,7 - 9,,,,,,,Krill,크릴,191,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,No,No,Yes,Yes,No,No,No
Kugane,쿠가네,Swordtip Squid,칼머리 오징어,8 - 11,8 - 11,3.5 - 6,8 - 11,,,,,,,Plump Worm,굵은지렁이,115,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,오징어,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Mailfish,갑옷고기,7 - 11,,,9 - 12,,,,,,,Ragworm,바위털갯지렁이,198,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,No,No,No,Yes,Yes
Kugane,쿠가네,Idaten's Bolt,위태천 날치,3 - 4,3 - 4,3 - 4,5 - 8,,,,,,,Krill,크릴,62,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Maelstrom Turban,회오리 소라,4.5 - 8,4.5 - 8,4.5 - 8,7 - 11,,,,,,,Ragworm,바위털갯지렁이,83,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,No,4,M,Shellfish,조개,,No,No,No,No,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,T!Shoshitsuki,첩질귀,,,3 - 4,5 - 8,,,,,,,Plump Worm,굵은지렁이,92,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
Kugane,쿠가네,Spadefish,가래상어,,6 - 8,,7 - 9,,,,,,,Krill,크릴,191,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,4,,,,,No,No,No,No,No,No,No,No,Yes,Yes
Kugane,쿠가네,I!Glass Dragon,청옥룡,,,,,,8 - 10,,,M!Snapping Koban,금화 곰치,M!Snapping Koban,금화 곰치,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,5,,,,"(45s) x2 <img class=""iconMini"" src=""../img/fish/Shoshitsuki.png"" alt=""Shoshitsuki"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Shoshitsuki"" tabindex=""0"">",Yes,No,Yes,Yes,No,No,No,No,No,No
Ruby Sea,홍옥해,T!Crimson Kelp,진홍 다시마,4 - 7,4 - 7,4 - 7,7 - 11,,,,,,,Ragworm,바위털갯지렁이,11,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,1,,,,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Reef Squid,무늬오징어,9.5 - 18,9.5 - 18,9.5 - 18,11 - 21,,,,,,,Krill,크릴,10,3,5,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,1,Q,Squid,오징어,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Pinebark Flounder,송린가자미,5 - 9,5 - 9,5 - 9,8 - 12,,,,,,,Ragworm,바위털갯지렁이,15,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,No,???,???,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,1,,,,,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Mantle Moray,날개옷 곰치,10 - 14,5 - 9,10 - 14,10 - 14,,,,,,,Krill,크릴,41,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,No,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,2,,,,,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Barded Lobster,말새우,10 - 18,15 - 23,15 - 23,15 - 23,,,,,,,Ragworm,바위털갯지렁이,33,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,2,H,Shrimp,새우,,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Shisui Goby,시스이 망둥이,18 - 31,18 - 31,18 - 31,18 - 31,,,,,,,Ragworm,바위털갯지렁이,57,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,3,,,,,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Sanbaso,산바소우,18 - 31,18 - 31,14 - 25,19 - 31,,,,,,,Plump Worm,굵은지렁이,38,2,3,!!,Powerful,강력한 낚아채기,Yes,No,No,Yes,???,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,2,,,,,No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Violet Sentry,푸른 인왕,14 - 21,14 - 21,13 - 20,14 - 21,,,,,,,Plump Worm,굵은지렁이,55,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,3,,,,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,Spectral Snake Eel,환해 구렁이,15 - 24,15 - 24,15 - 24,15 - 24,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,No,Wind,바람,Gales,폭풍,Thunder,번개,,,,4,,,,,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,I!Heavensent Shark,천궁호랑이,,15 - 27,,,,,,,,,Krill,크릴,227,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Wind,바람,Gales,폭풍,Thunder,번개,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Crimson Kelp.png"" alt=""Crimson Kelp"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Crimson Kelp"" tabindex=""0"">",No,No,No,Yes,No,No,Yes,No,Yes,Yes
Ruby Sea,홍옥해,T!Fleeting Squid,파초 오징어,3 - 4,3 - 4,3 - 4,5 - 8,6 - 8,,Squid Strip,오징어 살,,,Krill,크릴,81,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,오징어,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
Ruby Sea,홍옥해,Bowbarb Lobster,궁마대하,3 - 4,3 - 4,3 - 4,5 - 8,6 - 8,,Squid Strip,오징어 살,,,Ragworm,바위털갯지렁이,83,4,7,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,H,Shrimp,새우,,No,No,No,Yes,No,No,Yes,No,No,Yes
Ruby Sea,홍옥해,Pitch Pickle,검은니 해삼,5 - 6,,,7 - 8,,,Squid Strip,오징어 살,,,Ragworm,바위털갯지렁이,218,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,Yes,No,No,No,No,No,No
Ruby Sea,홍옥해,Senbei Octopus,전병문어,4.5 - 7.5,4.5 - 7.5,4.5 - 7.5,8 - 11,4.5 - 7.5,,Squid Strip,오징어 살,,,Ragworm,바위털갯지렁이,83,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
Ruby Sea,홍옥해,Tentacle Thresher,문어먹보,2 - 3,2 - 3,2 - 3,4 - 6,5 - 6,,Squid Strip,오징어 살,,,Plump Worm,굵은지렁이,76,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,,,,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
Ruby Sea,홍옥해,Bekko Rockhugger,베코우 도치,,5 - 6,,7 - 8,,,Squid Strip,오징어 살,,,Krill,크릴,187,2,3,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,No,Yes
Ruby Sea,홍옥해,Yellow Iris,노랑꽃창포어,6 - 8,,,7 - 9,,,Squid Strip,오징어 살,,,Ragworm,바위털갯지렁이,218,2,3,!,Precision,섬세한 낚아채기,,,,,,,,,,,,,,Yes,No,No,4,,,,,No,No,No,Yes,No,No,No,No,No,No
Ruby Sea,홍옥해,Crimson Sentry,붉은 인왕,,,6 - 8,7 - 9,,,Squid Strip,오징어 살,,,Plump Worm,굵은지렁이,178,2,3,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,No,Yes,4,,,,,No,No,No,No,No,No,No,No,No,Yes
Ruby Sea,홍옥해,T!Flying Squid,큰살오징어,8 - 12,8 - 12,4.5 - 8,10 - 14,8 - 12,,Squid Strip,오징어 살,,,Plump Worm,굵은지렁이,126,4,7,!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,Yes,Yes,Yes,4,Q,Squid,오징어,,Yes,No,No,Yes,No,No,Yes,No,No,Yes
Ruby Sea,홍옥해,F!Hells' Claw,지옥뚜껑게,,,,,8 - 11,,Squid Strip,오징어 살,,,Squid Strip,오징어 살,500,1,1,!!!,Powerful,강력한 낚아채기,,,,,,,,,,,,,,No,Yes,No,5,,,,"(15s) x2 <img class=""iconMini"" src=""../img/fish/Fleeting Squid.png"" alt=""Fleeting Squid"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Fleeting Squid"" tabindex=""0""> + x1 <img class=""iconMini"" src=""../img/fish/Flying Squid.png"" alt=""Flying Squid"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Flying Squid"" tabindex=""0"">",Yes,No,No,No,No,No,Yes,No,No,No
One River,무이강,T!Catching Carp,주걱붕어,6 - 10,6 - 10,6 - 10,9 - 14,,,,,,,Ragworm,바위털갯지렁이,10,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Garlean Bluegill,갈레안 우럭,7 - 12,7 - 12,7 - 12,10 - 14,,,,,,,Krill,크릴,14,2,3,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,No,No,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Yanxian Softshell,얀샤 자라,8 - 15,8 - 15,8 - 15,10 - 17,,,,,,,Krill,크릴,10,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,1,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Princess Salmon,공주연어,5 - 9,10 - 14,10 - 14,10 - 14,,,,,,,Ragworm,바위털갯지렁이,37,2,3,!,Precision,섬세한 낚아채기,Yes,No,No,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Calligraph,묵린어,12 - 18,12 - 18,8 - 14,12 - 18,,,,,,,Plump Worm,굵은지렁이,40,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,No,,Yes,Rain,비,Showers,폭우,,,,,,2,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Singular Shrimp,무이 새우,13 - 24,17 - 29,17 - 29,17 - 29,,,,,,,Ragworm,바위털갯지렁이,31,3,5,!,Precision,섬세한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,2,H,Shrimp,새우,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Brocade Carp,양단잉어,14 - 22,14 - 22,14 - 22,14 - 22,,,,,,,Krill,크릴,52,2,3,!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,No,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Yanxian Sturgeon,얀샤 나비상어,11 - 16,11 - 16,11 - 16,11 - 16,,,,,,,Plump Worm,굵은지렁이,49,2,3,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,3,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,Spectral Kotsu Zetsu,환해 골설어,17 - 28,17 - 28,17 - 28,18 - 28,,,,,,,Krill,크릴,100,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,No,Rain,비,Showers,폭우,,,,,,4,,,,,Yes,No,Yes,No,No,Yes,No,No,Yes,No
One River,무이강,I!Fishy Shark,덤불상어,,,17 - 28,,,,,,,,Plump Worm,굵은지렁이,223,1,1,!!!,Powerful,강력한 낚아채기,Yes,Yes,Yes,Yes,Yes,,Yes,Rain,비,Showers,폭우,,,,,,4,,,,"(60s) x3 <img class=""iconMini"" src=""../img/fish/Catching Carp.png"" alt=""Catching Carp"" data-bs-toggle=""tooltip"" data-bs-trigger=""hover"" data-bs-title=""Catching Carp"" tabindex=""0"">",No,No,Yes,No,No,Yes,No,No,Yes,No
